飞周兄弟 | 还不认亲？ | Region | hate [END]
女方 | 想隐瞒你也很难知道 | non-hate | non-hate [END]
你 | 解释一下 | non-hate | non-hate [END]
地域黑 | 地域黑的地方也是存在的啊 | non-hate | non-hate [END]
地域黑 | 惯例無可避免 | non-hate | non-hate [END]
媚外的 | 你们媚外的才多吧？ | Sexism, Racism | hate [SEP] 媚外女性 | 一堆喜欢新鲜感的媚外女性 | Sexism, Racism | hate [END]
我 | 会承认 | non-hate | non-hate [END]
普信的直男 | 无差别攻击 | Sexism | hate [END]
女狗 | 给女狗送温暖 | Sexism | hate [END]
txl | 不去滥交和大量传播艾滋病 | LGBTQ, others | hate [SEP] txl | 比例小，可是总人数还是很大的 | LGBTQ, others | hate [SEP] 这个群体 | 有给同性恋抹黑的“坏人”存在 | LGBTQ, others | hate [SEP] 每个群体 | 都有人渣 | non-hate | non-hate [END]
年轻人 | 好优秀 | non-hate | non-hate [END]
他们 | 真恶心 | LGBTQ | hate [SEP] 一些女生 | 讨厌色lang | Sexism | hate [END]
NULL | 生孩子都不用去医院！ | non-hate | non-hate [END]
河南 | 分数线简直不能看 | non-hate | non-hate [END]
很多国男 | alphamale | Sexism | hate [SEP] 普通国男 | 跟着沾光 | Sexism | hate [END]
很多工厂 | 不招贵州人是真怕了贵州人了 | Region | hate [END]
找黑人作男朋友的女生 | 应该好好调查 | Sexism, Racism | hate [END]
你 | 对工程师有什么误会 | non-hate | non-hate [END]
你 | 有个黑色的玩伴 | Racism | hate [END]
黑安徽江西最严重的 | 你们那 | Region | hate [END]
女拳 | 更支持 | non-hate | non-hate [END]
她们 | 大纱布 | Sexism | hate [END]
嘿人 | 人类起源于非洲，不是起源于嘿人 | Racism | hate [END]
犹太人 | 祸害全球人类各民族罪恶嘴脸 | Racism | hate [END]
黑杂碎贱婢 | 表字*** | Racism | hate [END]
非洲人 | 又穷又老色胚 | Region | hate [SEP] 日本人 | 台湾就学他们的 | Region | hate [END]
通讯录 | 素质感人 | LGBTQ | hate [END]
你 | 我不是会员，我发不了图片 | non-hate | non-hate [END]
圆圈吧 | 出了名的鸡窝 | Sexism | hate [END]
成都 | 只要交了黑人基本上所有人都知道了 | Region, Racism | hate [END]
你工作单位 | 知道你是同性恋会怎样呢 | non-hate | non-hate [END]
福建 | 做的恶 真的绝不比上述被黑的地方少 | Region | hate [END]
黑人 | 大屌 | Racism | hate [SEP] 亚洲人 | av里面亚洲人也没有大屌啊 | Sexism, Racism | hate [END]
性少数者 | 没几个大脑正常 | LGBTQ | hate [END]
跨性别 | 想了半天女人的特征到底是什么呢？没有想到自信没有想到包容没有想到善良也没有想到温柔，却学到了泼妇的刻薄。以及淫妇的放纵 | LGBTQ | hate [END]
这边 | 风景独好 | non-hate | non-hate [END]
黑人 | 有50%的比例了 | Racism | hate [SEP] 黑人 | 有很多是有其他各种病的 | Racism | hate [END]
西北某211大学 | 大三 | non-hate | non-hate [SEP] 我 | 竟然还有两个舍友组团黑河南 | Region | hate [END]
广大男同胞 | 发声 | non-hate | non-hate [END]
人类社会 | 会渐渐变得紧密 | non-hate | non-hate [END]
我身边即世界😆 | 我朋友，我亲戚，我邻居，我同学，我认识的人 | non-hate | non-hate [END]
结婚率 | 血崩 | non-hate | non-hate [SEP] 离婚率 | 飞天 | non-hate | non-hate [END]
浙江 | 歧视外地人 | Region | hate [END]
NULL | 别梦了 事实就是这样 | non-hate | non-hate [END]
火星人 | 是人 | non-hate | non-hate [END]
她 | 自己不把自己当人 | non-hate | non-hate [END]
废物龟♂ | 大家引以为戒 | Sexism | hate [END]
畒🐶 | 听不懂人话 | non-hate | non-hate [END]
中国男人 | 要求做供养者，还要作为爱情提供者 | Sexism | hate [END]
你 | 暴打你一顿 | non-hate | non-hate [END]
百度 | 女拳特别多 | Sexism | hate [END]
gay | 一般即使看上直男也是想被上 | LGBTQ | hate [END]
黑人 | 把皮拔了，染成黄色的 | Racism | hate [END]
外国人 | pc都不能接受外国人上过的 | Racism | hate [END]
我的朋友 | 我就会包容啊 | non-hate | non-hate [END]
他们 | 不去让他们去采摘园真是可惜了 | non-hate | non-hate [END]
大东北 | 现在也不差 | non-hate | non-hate [END]
东北人 | 彻底麻木 | non-hate | non-hate [END]
你 | 好人就给你了，祝你早生贵子 | non-hate | non-hate [END]
黑人 | 奴隶 | Racism | hate [SEP] 闪米特人 | 更像黄种人 | Racism | hate [END]
南非 | 不是发达过家恐怕也只有你跪虫族会说它曾经不是 | Region | hate [END]
山东 | 还是好上很多 | non-hate | non-hate [END]
黑粪蛋 | 脏了衣服 | Racism | hate [END]
这家伙 | 也够倒霉的 | non-hate | non-hate [END]
男男 | 不要出来恶心我 | LGBTQ | hate [END]
女性群体 | 主体意愿越来越无法忽视 | Sexism | hate [SEP] 你一个男的 | 有啥好纯情的 | Sexism | hate [SEP] 黑叔叔 | 模仿版本之子 | Racism | hate [END]
同性恋 | 植物也会开花结果 | LGBTQ | hate [SEP] 同性恋 | 爱情结晶 | LGBTQ | hate [SEP] 同性恋 | 啥也不懂啥也不是 | LGBTQ | hate [SEP] 同婚 | 没有任何意义没有任何结果的 | LGBTQ | hate [END]
女生 | 非要给女生强制检查 | Sexism | hate [END]
广东 | 不熟 | non-hate | non-hate [END]
女拳男 | 414 | Sexism | hate [END]
理中客 | 女拳和舔狗扮的 | Sexism | hate [END]
黑人 | 背叛 | Racism | hate [END]
西安人 | 黑河南的 | Region | hate [SEP] 全国人民 | 黑西安的 | Region | hate [END]
度度 | 缩了回去 | non-hate | non-hate [END]
嫁给黑人的国女 | 要自觉点 | Sexism, Racism | hate [SEP] 黑二代 | 污染别人家的基因就说不过去了 | Sexism, Racism | hate [END]
浙江 | 滚出中国 | Region | hate [END]
差评 | 要先买游戏玩过后才能 | non-hate | non-hate [END]
女〇 | 女〇 | Sexism | hate [END]
这人 | 可能这辈子没出过抚顺 | non-hate | non-hate [END]
新疆的回族 | 被黑惨了 | non-hate | non-hate [END]
犹太人凯乐奇计划 | 灭绝中华民族、中华文化 | Racism | hate [END]
他 | 黑的是广西 | non-hate | non-hate [END]
群满嘴道德仁义的狗 | 在搞笑 | non-hate | non-hate [END]
同性恋 | 反同性恋 | LGBTQ | hate [END]
立女 | 热搜上一堆 | Sexism | hate [SEP] 女拳 | 砂男婴的热搜就往死里压热度 | Sexism | hate [SEP] 逼乎 | 真有你 | Sexism | hate [SEP] 逼乎 | 姓逼 | Sexism | hate [END]
被骗 | 普遍的 | non-hate | non-hate [END]
黑上海的 | 规模碾压北京👍😎😅 | Region | hate [END]
河南小朋友 | 骗过 | non-hate | non-hate [END]
90 00这代人 | 结婚率低 | non-hate | non-hate [END]
基佬 | 怪物 | LGBTQ | hate [END]
基佬 | 会吐口水 | LGBTQ | hate [END]
gay | 对女性要友好得多了 | LGBTQ | hate [END]
民主党 | 又蠢又坏 | others | hate [END]
女人 | 对女人的解读基本没什么毛病 | non-hate | non-hate [END]
黑醋 | 最喜欢做的事就是伤害别人，干违法乱纪的事 | Racism | hate [END]
你的回答 | 有点棒棒哒( • ̀ω•́ )✧ | non-hate | non-hate [END]
嫁老外的这些女人 | 赖在中国 | Sexism, Racism | hate [END]
继续者 | 之大华人主义 | Racism | hate [END]
国外的现状 | 我们的未来 | non-hate | non-hate [END]
知乎里关于地域的回答 | 乌烟瘴气的 | non-hate | non-hate [END]
女人 | 求着男人负责 | Sexism | hate [SEP] 男人 | 求着女人结婚 | Sexism | hate [END]
已婚女性 | 没有多少个已婚女性能够明面上拒绝丈夫的性需求 | Sexism | hate [END]
女拳 | 借媚外打压锅男 | Sexism | hate [END]
一群站街女 | 免费鸡院 | Sexism | hate [END]
有狐臭的人 | 思想上就接受不了这种事 | Racism | hate [SEP] 劣质外国人 | 激烈的反对 | others | hate [END]
日本 | 想在奥运装圣母 | Region | hate [END]
黑 | 偏袒 | Racism | hate [END]
国女 | 干的好事 | Sexism | hate [END]
NULL | 不符合东方审美观 | non-hate | non-hate [END]
女权 | 继续自己的战斗 | Sexism | hate [END]
这种男人 | 实在是很令人讨厌 | Sexism | hate [END]
韩国人 | 偷东西 | Region | hate [END]
在外的老乡 | 招人讨厌 | Region | hate [END]
基佬 | 拉黑 | LGBTQ | hate [END]
霓 | 全价什么时候能被做成刺身 | Sexism | hate [END]
支持的人 | 保护作为“人”的最基本权利 | non-hate | non-hate [END]
东北 | 偏见是刻在骨子里的 | Region | hate [END]
国际鬼子虫类及其它们后代虫混 | 统一基因的激情犯罪 | Racism | hate [END]
外国人 | 犯罪三年以下有期徒刑的不追究 | Racism | hate [END]
这种人 | 活该 | Sexism, Racism | hate [END]
美国 | 巴不得美国从地球上消失的样子 | Region | hate [END]
便宜鸡 | 开始叨叨叨她那些前男友的破事了 | Sexism | hate [SEP] 便宜鸡 | 烦死了 | Sexism | hate [END]
女性 | 能撑起一片天而不是玩封建想靠婚姻混日子 | non-hate | non-hate [END]
黄皮肤的 | 人上人 | Racism | hate [END]
你 | 一击脱离就拉黑 | non-hate | non-hate [END]
我 | 觉得我会在乎对方的能力 品性 学识 刚好的外貌 | non-hate | non-hate [END]
国内女权 | 德行 | Sexism | hate [END]
我 | 是在反驳楼主 | non-hate | non-hate [END]
东北人 | 流出以年轻白领为主😅 | non-hate | non-hate [END]
看新闻的 | 也少了 | non-hate | non-hate [END]
新上海人 | 也算进去吧🤣 | non-hate | non-hate [END]
女性 | 结婚前，女性会索要高额彩礼；结婚后，女性有权利拒绝和你发生关系；女性可以和别人发生关系，且离婚时这不被视为过错；女性有权利拒绝生孩子；女性有权利拒绝做家务；当你想离婚时，女性不会退还彩礼；女性有权利索要年薪124万的赔偿；女性还会网爆男性 | Sexism | hate [END]
楠拳 | 自己不遵守 | Sexism | hate [END]
你 | 不识字 | non-hate | non-hate [END]
上海 | 有100万日本人？ | non-hate | non-hate [END]
我 | 说的是事实 | non-hate | non-hate [END]
正经男人女人 | 一生只和一个做爱怎么会得病⁉ | non-hate | non-hate [END]
腐女 | 女拳師討厭 | Sexism | hate [END]
国楠 | 才是真的惨 | Sexism | hate [END]
母猪 | 看面相就不是个好人 | Sexism | hate [END]
这样的女孩子 | 找了老黑之后跟着他回他的非洲大陆 | Sexism, Racism | hate [END]
啥b | 脑子发育不完全🙂 | non-hate | non-hate [END]
黑吉辽配 | 单独提名 | Region | hate [SEP] 东北 | 多亿人都是被当做“东北”来整体进行辱骂的 | Region | hate [END]
湖北 | 九头鸟 | Region | hate [END]
度娘 | 越来越会玩了 | non-hate | non-hate [END]
广西 | 水果巨多巨便宜 | non-hate | non-hate [END]
女权们 | 继续拖，等你拖35岁以后，绝经了，你这辈子也就这样了 | Sexism | hate [END]
咱们 | 没特点 | non-hate | non-hate [END]
广东 | 在文化种族等方面被黑 | Region | hate [END]
这些人 | 恋爱观就离谱 | non-hate | non-hate [END]
巧克力豆 | 找巧克力豆当对象的，男的绝交，女的有多远离多远 | Sexism, Racism | hate [SEP] 劳资 | 难道不是种族歧视 | Racism | hate [END]
老实人 | 特么同情老实人？ | non-hate | non-hate [END]
性工作者和人品低下的人 | 保持距离 | non-hate | non-hate [END]
黑人、白人 | 只有风险、没有收益的陌生人 | Racism | hate [END]
直女 | 和女性make所以直女和女性关系就不好？ | non-hate | non-hate [END]
维小人 | 与女子不可教 | Sexism, Racism | hate [END]
新疆人 | 禁止新疆人入内 | Region | hate [END]
NULL | 为什么不打胎 | non-hate | non-hate [END]
孙吧 | 被女权围攻 | Sexism | hate [END]
浙江人 | 我真的非常害怕 | Region | hate [END]
同性恋 | 才是真爱 | LGBTQ | hate [SEP] 异性恋 | 只为了繁殖 | LGBTQ | hate [SEP] 同性恋 | 好感降低了一大截 | LGBTQ | hate [END]
你 | 不知羞耻 | non-hate | non-hate [END]
你们 | 先来碰瓷 | non-hate | non-hate [END]
你自己 | 不切实际的幻想做成的错误 | non-hate | non-hate [END]
广州 | 除了特定几个站有时候能看到一两个，其他时候没再看见👍️ | non-hate | non-hate [END]
少数人 | 祸害国家的蛀虫 | Racism | hate [END]
同狗 | 迫害正常人 | LGBTQ | hate [END]
黑人 | 艾滋病携带率高 | Racism, others | hate [END]
他 | 把他黑点 | non-hate | non-hate [END]
韦小宝 | 都会查 | non-hate | non-hate [END]
乙 | 弗兰长沙人 | non-hate | non-hate [END]
郭朒 | 没有啊😄 | Sexism | hate [END]
你 | 你说是就是吧 | non-hate | non-hate [END]
我 | 支持你的看法 | non-hate | non-hate [END]
非洲黑人 | 到处扩张 | Racism | hate [SEP] 非洲黑人 | 给中国人改良种族 | Racism | hate [END]
那些媚黑的女人 | 不会听进去 | Sexism, Racism | hate [END]
上海人 | 傲慢 | Region | hate [END]
东北人 | 坏 | Region | hate [END]
东北云南人 | 吃生猪皮 | non-hate | non-hate [END]
江西 | 双标 | Region | hate [END]
大男权主义分子 | 被我疑问句问破防 | Sexism | hate [END]
男性 | 对女性敌意大？ | non-hate | non-hate [END]
这东西 | 不分男女 | non-hate | non-hate [END]
NULL | 真的很双标 | non-hate | non-hate [END]
自我劣化的异类 | 会造成五胡乱华的后果 | Racism | hate [SEP] 中华文化 | 从古到今从来没有遇到过这种靠子宫和丁丁入侵的物种 | Racism, Sexism | hate [END]
国际鬼子虫类及其它们后代虫混 | 墙头草，两面倒 | Racism | hate [SEP] 国际鬼子虫类及其它们后代虫混的所谓精英 | 蛇鼠两端货色 | Racism | hate [END]
我 | 190+ | non-hate | non-hate [SEP] 这种墓垢 | 铁鲨鼻 | Sexism | hate [END]
皮肤比较黑的人员 | 选择与它们相反的方向行走就对了！ | Racism | hate [END]
猪精 | 闲得蛋疼 | LGBTQ | hate [END]
初中都没上过的鬼母 | 牛逼吹的倒是不小 | Sexism | hate [END]
幕刃和理客 | 恶心 | Sexism | hate [END]
我小姨 | 畏怕我把我弟带坏了 | non-hate | non-hate [END]
牛头人 | 听说自己女朋友跟别人玩的花还很兴奋 | Sexism | hate [END]
这样的直男 | 好少见额 | non-hate | non-hate [END]
基佬 | 举报 | LGBTQ | hate [END]
亩刃 | 楼主别理会 | Sexism | hate [END]
他 | gay | non-hate | non-hate [END]
有个几十万粉丝博主 | 被限流了 | non-hate | non-hate [END]
以偏概全的言论 | 刹比 | non-hate | non-hate [END]
这脸 | 有点疯狂原始人的味道 | Racism | hate [END]
圣母 | 反对一切圣母行为 | Sexism | hate [END]
你 | 还是太年轻了，没有格局 | non-hate | non-hate [END]
同性恋 | 如果说自然法则不允许同性恋存在，为什么不让它灭绝？ | LGBTQ | hate [END]
默 | 倒贴 | Racism | hate [END]
母狗 | 在现实中太怂了，不然杀几个玩玩 | Sexism | hate [END]
清道夫 | 没有用的垃圾 | Racism | hate [END]
非洲 | 分享过来的 | non-hate | non-hate [END]
狗肉 | 这东西平时太罕见了吧 | non-hate | non-hate [END]
你 | 岁月静好 | non-hate | non-hate [END]
女人 | 远离 | Sexism | hate [END]
钼刃 | 没人要 | Sexism | hate [END]
匈奴汉国的刘渊 | 一个汉化之人 | non-hate | non-hate [END]
同性恋 | 何必一定要了解和欣赏同性恋呢？ | non-hate | non-hate [END]
非洲 | 鬼畜杂毛地方 | Region | hate [END]
河南人 | 黑 | Region | hate [END]
大哥 | 你私信没开 | non-hate | non-hate [END]
这会中文的黑猩猩 | 我国神马地方？？！！ | Racism | hate [END]
管家仆人 | 这跟以前的管家仆人似的 | non-hate | non-hate [END]
机器人 | 你理它它就赢了 | non-hate | non-hate [END]
猪精 | 吃不到性别福利只能走这条路 | Sexism | hate [END]
你 | 没玩过的默也先玩了🤭 | Racism | hate [END]
男人 | 嫁个能发动全网媒体辟谣的男人 | non-hate | non-hate [END]
你 | 地 | non-hate | non-hate [END]
河南，东北地区，广西 | 网上被黑的最惨的几个地方 | Region | hate [SEP] 北京，山东，安徽，山西 | 一般惨的 | Region | hate [END]
同性恋 | 哗众取宠的小丑 | LGBTQ | hate [SEP] txl | 自私而且低能，说理说不过又只会无脑的谩骂的低龄心理变态人群 | LGBTQ | hate [END]
河南人 | 欺骗过他们 | non-hate | non-hate [END]
我 | 去过南方几乎所有的省 | non-hate | non-hate [END]
一群智障 | 猎奇 | non-hate | non-hate [END]
它们 | 会有政策加分的 | non-hate | non-hate [END]
索玛女王 | 对默的评价 | Sexism, Racism | hate [END]
我们 | 需要工会 | non-hate | non-hate [END]
你 | 比黑人还差😄 | Racism | hate [END]
中国人 | 在中国歧视中国人⁉ | non-hate | non-hate [END]
中国女性 | 唯一被批评的女性群体 | Sexism | hate [END]
中国人 | 普遍都很小 | Racism | hate [END]
艾滋病人 | 网上呼吁不要歧视 | non-hate | non-hate [SEP] 艾滋病 | 生活中遇到真艾滋病人都会自动走开 | non-hate | non-hate [END]
她 | 当一定期间内的投资回报率低于一定值直接净身出户 | Sexism | hate [END]
成都 | 人民的城市 | non-hate | non-hate [SEP] 成都群众 | 威武 | non-hate | non-hate [END]
他们 | 不仅嘲笑他们，还嘲笑那些不嘲笑他们的人 | non-hate | non-hate [END]
jatoo | 多功能 | non-hate | non-hate [END]
彩礼吧 | 反对的都被禁言了 | non-hate | non-hate [END]
河南人 | 可以删除 | non-hate | non-hate [END]
腐癌 | 你们异性恋女生😓 | LGBTQ, Sexism | hate [END]
你 | 有支持的权利我就有反对的权利 | non-hate | non-hate [END]
一些半调子地区 | 地域歧视 | Region | hate [END]
黑男 | 跟黑男换国籍 | Racism | hate [END]
孔子 | 耳听为虚，眼见为实 | non-hate | non-hate [END]
沈阳大连 | 城市发展已经开始落后了 | non-hate | non-hate [END]
畒 | 被男人压在夸下摩擦了几千年 | Sexism | hate [SEP] 有的 | 一点权力还是男人施舍的 | Sexism | hate [END]
上海的外来人口 | 地域歧视最严重 | Region | hate [END]
被黑人搞过的 | 一种是人傻媚外的，不能要。一种是性瘾大喜欢大家伙的，也不能要 | Racism | hate [END]
徐州 | 男的又输得一塌糊涂 | Region | hate [END]
女拳 | 泛滥 | Sexism | hate [END]
黑蛆 | 直接清空弹夹完事 | Racism | hate [END]
上海人 | 是苏南人的种而不是苏北人的 | Region | hate [END]
作者 | 支持作者传播正能量 | non-hate | non-hate [END]
女的 | 也会骗婚的？？ | non-hate | non-hate [END]
地域黑 | 西方资本控制的国内某些媒体，刻意营造出来的从内部分裂、瓦解民族认同感的舆论战争 | Region | hate [END]
我 | 11.和我doi | non-hate | non-hate [END]
黑黄混血 | 看到了就觉得恶心，不伦不类的😷 | Racism | hate [END]
上海人，或者说咱们长三角人 | 被外来务工人员黑的严重 | Region | hate [END]
金庸大师 | 诚不我欺 | non-hate | non-hate [END]
教会 | 藏污纳垢恶心死你 | others | hate [END]
东北人 | 对家乡文化一般都不太自信 | Region | hate [END]
中非友谊 | 很“好” | non-hate | non-hate [END]
蛮 | 少数民族 | non-hate | non-hate [END]
小鸡 | 宁愿小鸡守活寡🤣 也不想小鸡沾粑粑😅 | Sexism | hate [END]
小管家 | 没有匿名 | non-hate | non-hate [END]
军阀 | 割据占领华夏 | Region | hate [SEP] 北方人 | 一般北方人、辽宁、黑龙江 | Region | hate [SEP] 南方人 | 被地狱狗蔑称为南大人 | Region | hate [END]
中国男人 | 应该灭绝 | Sexism | hate [END]
抖音 | 默默的重灾区 | non-hate | non-hate [END]
同性恋 | 厌恶反感 | LGBTQ | hate [END]
洛阳口音和商丘口音还有信阳口音 | 你能分清嘛 | non-hate | non-hate [END]
吧里的年轻人们 | 可以考虑进中小企业的电子厂 | non-hate | non-hate [END]
智商低的同性恋 | 才会来这个吧挑战 | LGBTQ | hate [END]
你这种把身边当世界的人 | 没什么好说的 | non-hate | non-hate [END]
天龙人 | 可不这么认为 | Racism | hate [END]
♠️ | 去推特看看就知道了 | non-hate | non-hate [END]
这种人 | 如何评价 | non-hate | non-hate [END]
你的白叠 | 就应该理所当然的在那 | Racism | hate [END]
几个男的 | 天天颜文字 | non-hate | non-hate [END]
基佬 | 真艾只属于基佬 | LGBTQ, others | hate [END]
克罗地亚的 | 容貌秒杀95%以上国女 | Sexism, Racism | hate [END]
找黑老丑的我 | 都隔应 | Sexism, Racism | hate [END]
生孩子 | 痛 | non-hate | non-hate [END]
两个女生 | 你选哪个当老婆 | non-hate | non-hate [END]
NULL | 跑到反同群里面开盒，真的是狗啊 | LGBTQ | hate [END]
反串黑 | 好家伙 | Racism | hate [END]
逻辑高手 | 随便打俩字就是悖论 | non-hate | non-hate [END]
女的 | 那没事了 | non-hate | non-hate [END]
你 | 应该去放生吧 | non-hate | non-hate [END]
上海人 | 已经躺平了 | non-hate | non-hate [END]
一些缺乏地理概念的人 | 在一些缺乏地理概念的人眼里，长江以北都是东北 | Region | hate [END]
男的 | 多事 | Sexism | hate [END]
那个男的 | 说话语气巨差无比 | non-hate | non-hate [END]
分享这玩意的 | 不是纯初生 | Sexism | hate [END]
我 | 要当吧主 | non-hate | non-hate [END]
北方 | 女人不能上桌吃饭 | Region, Sexism | hate [SEP] 南方 | 女人不能上龙舟 | Region, Sexism | hate [END]
这两地方 | 有优越感 | non-hate | non-hate [END]
女权 | 我成替身了？ | non-hate | non-hate [END]
黄女 | 白男娶黄女七层是炼铜，剩下两层是猎奇 | Sexism, Racism | hate [END]
女人 | 越老越贬值，越老越不能生 | Sexism | hate [END]
腐女 | 很反感腐女的 | Sexism | hate [END]
他 | 上海的 | non-hate | non-hate [END]
女方 | 婚前支付五年个人收入做彩礼 | Sexism | hate [SEP] 女方 | 不懂珍惜婚姻 | Sexism | hate [END]
异性恋 | 需要别人认可 | non-hate | non-hate [END]
努力大姐 | 还没死啊 | Sexism | hate [END]
同性恋 | 有什么资格给儿童定义 | LGBTQ | hate [END]
这昵称 | 有点东西 | non-hate | non-hate [END]
你 | 可以讨厌但是去辱骂和攻击他人就是没素质 | non-hate | non-hate [END]
上海(包括苏南浙北吴语区) | 喜欢排斥江淮地区，苏北和安徽中北部 | Region | hate [END]
所有的女生 | 生孩子多么多么痛、多么多么难，多么多么危险 | Sexism | hate [END]
二婚女 | 不原意娶个交往过黑人的女孩 | Sexism, Racism | hate [END]
老子 | 种族主义者 | Racism | hate [END]
国女 | 急死的 | Sexism | hate [END]
你 | 好big胆！ | Sexism | hate [END]
中国eg | 这么多🥺🥺 | Sexism | hate [END]
大国气度 | 接盘😄 | Sexism | hate [END]
女人 | 还什么房子将来孩子结婚用 | Sexism | hate [SEP] 一个懦弱又自我感动的大** | 儿子结婚起码还得将近20年 | Sexism | hate [END]
黑娃娃 | 看着就恶心 | Racism | hate [END]
蛆 | 能在化粪池里面找一条干净的蛆？ | non-hate | non-hate [END]
广东老太太 | 谁都不虚 | non-hate | non-hate [END]
中国传统文化 | 婚嫁随男方 | non-hate | non-hate [SEP] 重男轻女的传统文化 | 对家族很难有归属感 | non-hate | non-hate [END]
安徽人 | 身上有气节 | non-hate | non-hate [END]
这个 | 恋童癖 | non-hate | non-hate [END]
辽足辽篮球迷 | 这几年干的没素质事好像更多吧 | Region | hate [END]
人造子宫 | 不是为了贬低女性 | non-hate | non-hate [END]
男生 | 很坏 | Sexism | hate [SEP] 男生 | 脑子里都是那点破事儿的 | Sexism | hate [END]
二次元和微博 | 沙軟 | non-hate | non-hate [END]
潮汕火锅 | 什么味道啊 | non-hate | non-hate [END]
骗婚的人 | 人品有问题 | non-hate | non-hate [END]
广西 | 不也被黑得很惨吗 | non-hate | non-hate [END]
跪虫族 | 跪虫族 | Racism | hate [END]
大山里跑出来的猴子 | 笑死了 | Region | hate [END]
人家 | 生理上而不是理性 | non-hate | non-hate [END]
东北 | 付出的最多，满面疮痍 | non-hate | non-hate [SEP] 老子们 | 天天享福 | Region | hate [END]
厕所里畒勾叫的 | 还没路边蝲蝲蛄叫的好听 | Sexism | hate [END]
安徽 | 长三角现在安徽口碑比以前好多了 | non-hate | non-hate [END]
大家 | 去点个赞 | non-hate | non-hate [END]
国女 | 逼 | Sexism | hate [END]
基佬 | 同类相食的怪物 | LGBTQ | hate [END]
混血儿 | 丑八怪 | Racism | hate [END]
上海人 | 装什么小白兔😂 | Region | hate [END]
上海 | 排外歧视很严重 | Region | hate [END]
这相机 | 不错 | non-hate | non-hate [END]
很多女的 | 敏感、多疑、热衷于勾心斗角 | Sexism | hate [END]
贴吧 | 安全地发展 | non-hate | non-hate [END]
答主 | 日裔遗孤 | Region | hate [END]
那女的 | 作态还非常低贱，太丢人了 | Sexism | hate [END]
她们 | 结婚以后一定要和老公孩子待在非洲不要回来 | Sexism, Racism | hate [END]
国人 | 挺能忍的 | non-hate | non-hate [SEP] 毛子 | 绝对比它 | Region | hate [END]
河南人 | 每个省份都有河南人 | non-hate | non-hate [END]
你的拳 | 打到你了 | non-hate | non-hate [END]
黑人 | 不会抱黑人 | Racism | hate [END]
它们 | 多多发电 | non-hate | non-hate [END]
过男 | 下头男 | LGBTQ | hate [END]
图里的有智慧的人 | 全是男性 | non-hate | non-hate [END]
豫南三市 | 被黑的最多 | Region | hate [END]
杨笠 | 把大部分小仙女心声说了出来 | non-hate | non-hate [END]
人形畜狌 | 只有本能，除了寄声就是寝犯 | Racism | hate [END]
我 | 河南的 | non-hate | non-hate [END]
奸**人的迷香 | 非洲黑人或者美洲黑人使用来奸淫中国女人的那种身上的香水味道 | Sexism, Racism | hate [END]
黑人 | 五千年祖先都是灵长类动物 | Racism | hate [END]
你 | 人家自己说话，与你有关吗？ | non-hate | non-hate [END]
黑龙江 | 又是黑龙江出的事啊！ | non-hate | non-hate [END]
黑人 | 擅长音乐 | non-hate | non-hate [END]
女拳 | 一动手你们女拳就出来反抗 | Sexism | hate [SEP] 女拳 | 女性出轨有尼玛女拳罩着 | Sexism | hate [END]
异性恋 | 不好 | non-hate | non-hate [END]
中国有你这样的 | 真是中国的不幸 | non-hate | non-hate [END]
你 | 爬 | non-hate | non-hate [END]
这种女人 | 会带坏公司的风气 | Sexism | hate [END]
外人 | 最公开公正 | non-hate | non-hate [END]
小丑 | 能出来说一说你的成分吗 | non-hate | non-hate [END]
黑人 | 物种歧视 | Racism | hate [END]
这个吧里的臭亩钩 | 能凑出个完整的月莫吗？ | Sexism | hate [END]
黑人白人 | 都不待见 | Racism | hate [END]
河南的回族 | 互联网最底层🤣 | non-hate | non-hate [END]
女的 | 没国家概念 | Sexism | hate [END]
北京人 | 对上海人很复杂的情绪 | Region | hate [END]
这位警官 | 尽职尽责 | non-hate | non-hate [END]
这些凤毛麟角的人物 | 来代替99.99%的铌铬 | Sexism | hate [END]
有些人 | 玩个游戏都要捏个光头黑人 | Racism | hate [END]
她 | 得不介绍她的社会关系 | non-hate | non-hate [END]
你 | 有人理你吗 | non-hate | non-hate [END]
人类历史的先祖们 | 早就有预料今日这些人类的叛徒 | Racism | hate [END]
她 | 一边骂街一边yy | non-hate | non-hate [END]
男人 | 不婚 | non-hate | non-hate [END]
这狗 | 知道那些小狗是它的孩子吗？ | non-hate | non-hate [END]
山东人陕西人 | 真的不爱出门打工 | non-hate | non-hate [END]
亲子鉴定 | 希望跟验孕棒一样普及 | non-hate | non-hate [END]
台湾 | 简直是该打！ | Region | hate [END]
黑人 | 脸书已经就黑人是不是灵长类展开了讨论 | Racism | hate [END]
武侠火 | 龟男道德观 | Sexism | hate [END]
湖南 | 由于答主口音有问题逃过一劫，甚幸!🤭🤭 | non-hate | non-hate [END]
外籍留学生艾滋病强制筛查 | 取消 | non-hate | non-hate [END]
你野die | 在呼唤你 | Racism | hate [END]
科学家 | 相信 | non-hate | non-hate [END]
女⭕️师 | 不少 | non-hate | non-hate [END]
一部分南方人 | 分不清北方口音 | non-hate | non-hate [END]
我方 | 保护我方输出 | non-hate | non-hate [END]
我 | 每天都在关注都看的！ | non-hate | non-hate [END]
兄弟 | 辛苦了 | non-hate | non-hate [END]
